;Nome;Ano;Tempo;Nota
0;Duna: Parte 2;2024;2h 46m;8,6
1;Repetente;2023;2h 27m;8,9
2;Oppenheimer;2023;3h;8,3
3;Homem-Aranha: Através do Aranhaverso;2023;2h 20m;8,6
4;Top Gun: Maverick;2022;2h 10m;8,2
5;Homem-Aranha: Sem Volta para Casa;2021;2h 28m;8,2
6;Jai Bhim;2021;2h 44m;8,7
7;Hamilton;2020;2h 40m;8,3
8;Meu Pai;2020;1h 37m;8,2
9;1917;2019;1h 59m;8,2
10;Klaus;2019;1h 36m;8,2
11;Coringa;2019;2h 2m;8,4
12;Ford vs. Ferrari;2019;2h 32m;8,1
13;Parasita;2019;2h 12m;8,5
14;Vingadores: Ultimato;2019;3h 1m;8,4
15;Homem-Aranha: No Aranhaverso;2018;1h 57m;8,4
16;Assassinato às Cegas;2018;2h 19m;8,2
17;Green Book: O Guia;2018;2h 10m;8,2
18;Cafarnaum;2018;2h 6m;8,4
19;Vingadores: Guerra Infinita;2018;2h 29m;8,4
20;Viva - A Vida é uma Festa;2017;1h 45m;8,4
21;Três Anúncios para um Crime;2017;1h 55m;8,1
22;Logan;2017;2h 17m;8,1
23;Dangal;2016;2h 41m;8,3
24;Até o Último Homem;2016;2h 19m;8,1
25;Your Name;2016;1h 46m;8,4
26;A Criada;2016;2h 25m;8,1
27;O Quarto de Jack;2015;1h 58m;8,1
28;Spotlight: Segredos Revelados;2015;2h 9m;8,1
29;A Chantagem;2015;2h 43m;8,2
30;Divertida Mente;2015;1h 35m;8,1
31;Mad Max: Estrada da Fúria;2015;2h;8,1
32;Interestelar;2014;2h 49m;8,7
33;Garota Exemplar;2014;2h 29m;8,1
34;Relatos Selvagens;2014;2h 2m;8,1
35;O Grande Hotel Budapeste;2014;1h 39m;8,1
36;Whiplash: Em Busca da Perfeição;2014;1h 46m;8,5
37;O Lobo de Wall Street;2013;3h;8,2
38;Rush: No Limite da Emoção;2013;2h 3m;8,1
39;Os Suspeitos;2013;2h 33m;8,2
40;12 Anos de Escravidão;2013;2h 14m;8,1
41;Django Livre;2012;2h 45m;8,5
42;Batman: O Cavaleiro das Trevas Ressurge;2012;2h 44m;8,4
43;Gangues de Wasseypur;2012;5h 21m;8,2
44;A Caça;2012;1h 55m;8,3
45;Intocáveis;2011;1h 52m;8,5
46;Guerreiro;2011;2h 20m;8,1
47;Histórias Cruzadas;2011;2h 26m;8,1
48;Harry Potter e as Relíquias da Morte - Parte 2;2011;2h 10m;8,1
49;A Separação;2011;2h 3m;8,3
50;Incêndios;2010;2h 11m;8,3
51;A Origem;2010;2h 28m;8,8
52;Toy Story 3;2010;1h 43m;8,3
53;Como Treinar o Seu Dragão;2010;1h 38m;8,1
54;Ilha do Medo;2010;2h 18m;8,2
55;3 Idiotas;2009;2h 50m;8,4
56;O Segredo dos Seus Olhos;2009;2h 9m;8,2
57;Sempre ao Seu Lado;2009;1h 33m;8,1
58;Bastardos Inglórios;2009;2h 33m;8,4
59;Up: Altas Aventuras;2009;1h 36m;8,3
60;Mary e Max - Uma Amizade Diferente;2009;1h 32m;8,1
61;Gran Torino;2008;1h 56m;8,1
62;Batman: O Cavaleiro das Trevas;2008;2h 32m;9,0
63;WALL·E;2008;1h 38m;8,4
64;Como Estrelas na Terra;2007;2h 42m;8,3
65;Sangue Negro;2007;2h 38m;8,2
66;Na Natureza Selvagem;2007;2h 28m;8,1
67;Ratatouille;2007;1h 51m;8,1
68;Onde os Fracos Não Têm Vez;2007;2h 2m;8,2
69;O Grande Truque;2006;2h 10m;8,5
70;Os Infiltrados;2006;2h 31m;8,5
71;O Labirinto do Fauno;2006;1h 58m;8,2
72;A Vida dos Outros;2006;2h 17m;8,4
73;V de Vingança;2005;2h 12m;8,2
74;Meu Pai e Meu Filho;2005;1h 52m;8,2
75;Batman Begins;2005;2h 20m;8,2
76;Menina de Ouro;2004;2h 12m;8,1
77;Os Incríveis;2004;1h 55m;8,0
78;Hotel Ruanda;2004;2h 1m;8,1
79;A Queda! As Últimas Horas de Hitler;2004;2h 36m;8,2
80;O Castelo Animado;2004;1h 59m;8,2
81;Brilho Eterno de uma Mente sem Lembranças;2004;1h 48m;8,3
82;Antes do Pôr do Sol;2004;1h 20m;8,1
83;O Senhor dos Anéis: O Retorno do Rei;2003;3h 21m;9,0
84;Oldboy;2003;2h;8,3
85;Kill Bill: Volume 1;2003;1h 51m;8,2
86;Piratas do Caribe: A Maldição do Pérola Negra;2003;2h 23m;8,1
87;Procurando Nemo;2003;1h 40m;8,2
88;Memórias de um Assassino;2003;2h 11m;8,1
89;Prenda-Me se for Capaz;2002;2h 21m;8,1
90;O Senhor dos Anéis: As Duas Torres;2002;2h 59m;8,8
91;O Pianista;2002;2h 30m;8,5
92;Cidade de Deus;2002;2h 10m;8,6
93;Uma Mente Brilhante;2001;2h 15m;8,2
94;O Senhor dos Anéis: A Sociedade do Anel;2001;2h 58m;8,9
95;Monstros S.A.;2001;1h 32m;8,1
96;A Viagem de Chihiro;2001;2h 5m;8,6
97;O Fabuloso Destino de Amélie Poulain;2001;2h 2m;8,3
98;Amnésia;2000;1h 53m;8,4
99;Snatch - Porcos e Diamantes;2000;1h 44m;8,2
100;Réquiem para um Sonho;2000;1h 42m;8,3
101;Amores Brutos;2000;2h 34m;8,1
102;Gladiador;2000;2h 35m;8,5
103;À Espera de um Milagre;1999;3h 9m;8,6
104;Clube da Luta;1999;2h 19m;8,8
105;Beleza Americana;1999;2h 2m;8,3
106;O Sexto Sentido;1999;1h 47m;8,2
107;O Gigante de Ferro;1999;1h 26m;8,1
108;Matrix;1999;2h 16m;8,7
109;Jogos, Trapaças e Dois Canos Fumegantes;1998;1h 47m;8,1
110;O Resgate do Soldado Ryan;1998;2h 49m;8,6
111;A Outra História Americana;1998;1h 59m;8,5
112;O Show de Truman: O Show da Vida;1998;1h 43m;8,2
113;O Grande Lebowski;1998;1h 57m;8,1
114;A Vida é Bela;1997;1h 56m;8,6
115;Gênio Indomável;1997;2h 6m;8,3
116;Princesa Mononoke;1997;2h 14m;8,3
117;Los Angeles: Cidade Proibida;1997;2h 18m;8,2
118;Filhos do Paraíso;1997;1h 29m;8,2
119;Fargo: Uma Comédia de Erros;1996;1h 38m;8,1
120;Trainspotting: Sem Limites;1996;1h 33m;8,1
121;Fogo contra Fogo;1995;2h 50m;8,3
122;Toy Story;1995;1h 21m;8,3
123;Cassino;1995;2h 58m;8,2
124;Seven: Os Sete Crimes Capitais;1995;2h 7m;8,6
125;O Ódio;1995;1h 38m;8,1
126;Coração Valente;1995;2h 58m;8,3
127;Os Suspeitos;1995;1h 46m;8,5
128;Antes do Amanhecer;1995;1h 41m;8,1
129;O Profissional;1994;1h 50m;8,5
130;Um Sonho de Liberdade;1994;2h 22m;9,3
131;Forrest Gump: O Contador de Histórias;1994;2h 22m;8,8
132;O Rei Leão;1994;1h 28m;8,5
133;Pulp Fiction: Tempo de Violência;1994;2h 34m;8,9
134;Em Nome do Pai;1993;2h 13m;8,1
135;A Lista de Schindler;1993;3h 15m;9,0
136;Jurassic Park - O Parque dos Dinossauros;1993;2h 7m;8,2
137;Feitiço do Tempo;1993;1h 41m;8,0
138;Os Imperdoáveis;1992;2h 10m;8,2
139;Cães de Aluguel;1992;1h 39m;8,3
140;O Exterminador do Futuro 2: O Julgamento Final;1991;2h 17m;8,6
141;O Silêncio dos Inocentes;1991;1h 58m;8,6
142;Dança com Lobos;1990;3h 1m;8,0
143;Os Bons Companheiros;1990;2h 25m;8,7
144;Sociedade dos Poetas Mortos;1989;2h 8m;8,1
145;Indiana Jones e a Última Cruzada;1989;2h 7m;8,2
146;Cinema Paradiso;1988;2h 54m;8,5
147;Duro de Matar;1988;2h 12m;8,2
148;Túmulo dos Vagalumes;1988;1h 29m;8,5
149;Meu Amigo Totoro;1988;1h 26m;8,1
150;Nascido para Matar;1987;1h 56m;8,3
151;Platoon;1986;2h;8,1
152;Conta Comigo;1986;1h 29m;8,1
153;Aliens, O Resgate;1986;2h 17m;8,4
154;Vá e Veja;1985;2h 22m;8,4
155;De Volta para o Futuro;1985;1h 56m;8,5
156;Ran;1985;2h 40m;8,2
157;O Exterminador do Futuro;1984;1h 47m;8,1
158;Amadeus;1984;2h 40m;8,4
159;Era uma Vez na América;1984;3h 49m;8,3
160;Scarface;1983;2h 50m;8,3
161;Star Wars: Episódio VI - O Retorno de Jedi;1983;2h 11m;8,3
162;Blade Runner - O Caçador de Androides;1982;1h 57m;8,1
163;O Enigma de Outro Mundo;1982;1h 49m;8,2
164;O Barco: Inferno no Mar;1981;2h 29m;8,4
165;Os Caçadores da Arca Perdida;1981;1h 55m;8,4
166;Touro Indomável;1980;2h 9m;8,1
167;O Homem Elefante;1980;2h 4m;8,2
168;O Iluminado;1980;2h 26m;8,4
169;Star Wars: Episódio V - O Império Contra-Ataca;1980;2h 4m;8,7
170;Alien - O 8º Passageiro;1979;1h 57m;8,5
171;Apocalypse Now;1979;2h 27m;8,4
172;O Franco Atirador;1978;3h 3m;8,1
173;Star Wars: Episódio IV - Uma Nova Esperança;1977;2h 1m;8,6
174;Rocky, um Lutador;1976;2h;8,1
175;Rede de Intrigas;1976;2h 1m;8,1
176;Taxi Driver: Motorista de Táxi;1976;1h 54m;8,2
177;Barry Lyndon;1975;3h 5m;8,1
178;Um Estranho no Ninho;1975;2h 13m;8,7
179;Tubarão;1975;2h 4m;8,1
180;Monty Python em Busca do Cálice Sagrado;1975;1h 31m;8,2
181;O Poderoso Chefão II;1974;3h 22m;9,0
182;Chinatown;1974;2h 10m;8,1
183;O Exorcista;1973;2h 2m;8,1
184;Golpe de Mestre;1973;2h 9m;8,3
185;O Poderoso Chefão;1972;2h 55m;9,2
186;Laranja Mecânica;1971;2h 16m;8,3
187;Era uma Vez no Oeste;1968;2h 46m;8,5
188;2001: Uma Odisséia no Espaço;1968;2h 29m;8,3
189;Rebeldia Indomável;1967;2h 7m;8,1
190;Três Homens em Conflito;1966;2h 41m;8,8
191;A Batalha de Argel;1966;2h 1m;8,1
192;Por uns Dólares a Mais;1965;2h 12m;8,2
193;A Noviça Rebelde;1965;2h 52m;8,1
194;Dr. Fantástico;1964;1h 35m;8,3
195;Fugindo do Inferno;1963;2h 52m;8,2
196;Céu e Inferno;1963;2h 23m;8,4
197;O Sol é para Todos;1962;2h 9m;8,3
198;Lawrence da Arábia;1962;3h 38m;8,3
199;Harakiri;1962;2h 13m;8,6
200;Julgamento em Nuremberg;1961;2h 59m;8,3
201;Yojimbo, o Guarda-Costas;1961;1h 50m;8,2
202;Psicose;1960;1h 49m;8,5
203;Se Meu Apartamento Falasse;1960;2h 5m;8,3
204;Ben-Hur;1959;3h 32m;8,1
205;Intriga Internacional;1959;2h 16m;8,3
206;Quanto Mais Quente Melhor;1959;2h 1m;8,2
207;Um Corpo que Cai;1958;2h 8m;8,3
208;Morangos Silvestres;1957;1h 31m;8,1
209;Testemunha de Acusação;1957;1h 56m;8,4
210;Glória Feita de Sangue;1957;1h 28m;8,4
211;A Ponte do Rio Kwai;1957;2h 41m;8,1
212;12 Homens e uma Sentença;1957;1h 36m;9,0
213;O Sétimo Selo;1957;1h 36m;8,1
214;Janela Indiscreta;1954;1h 52m;8,5
215;Sindicato de Ladrões;1954;1h 48m;8,1
216;Os Sete Samurais;1954;3h 27m;8,6
217;Disque M para Matar;1954;1h 45m;8,2
218;Era uma Vez em Tóquio;1953;2h 16m;8,1
219;O Salário do Medo;1953;2h 11m;8,2
220;Viver;1952;2h 23m;8,3
221;Cantando na Chuva;1952;1h 43m;8,3
222;A Malvada;1950;2h 18m;8,2
223;Rashomon;1950;1h 28m;8,2
224;Crepúsculo dos Deuses;1950;1h 50m;8,4
225;O 3º Homem;1949;1h 44m;8,1
226;Ladrões de Bicicletas;1948;1h 29m;8,3
227;O Tesouro da Sierra Madre;1948;2h 6m;8,2
228;A Felicidade Não se Compra;1946;2h 10m;8,6
229;Os Melhores Anos de Nossa Vida;1946;2h 50m;8,1
230;Pacto de Sangue;1944;1h 47m;8,3
231;Casablanca;1942;1h 42m;8,5
232;Ser ou Não Ser;1942;1h 39m;8,1
233;Cidadão Kane;1941;1h 59m;8,3
234;O Grande Ditador;1940;2h 5m;8,4
235;Rebecca, a Mulher Inesquecível;1940;2h 10m;8,1
236;As Vinhas da Ira;1940;2h 9m;8,1
237;...E o Vento Levou;1939;3h 58m;8,2
238;A Mulher Faz o Homem;1939;2h 9m;8,1
239;O Mágico de Oz;1939;1h 42m;8,1
240;Tempos Modernos;1936;1h 27m;8,5
241;Aconteceu Naquela Noite;1934;1h 45m;8,1
242;M, o Vampiro de Dusseldorf;1931;1h 57m;8,3
243;Luzes da Cidade;1931;1h 27m;8,5
244;O Martírio de Joana D'Arc;1928;1h 50m;8,1
245;Metrópolis;1927;2h 33m;8,3
246;A General;1926;1h 18m;8,1
247;Em Busca do Ouro;1925;1h 35m;8,1
248;Bancando o Águia;1924;45m;8,2
249;O Garoto;1921;1h 8m;8,2
