;Nome;Ano;Tempo;Nota
0;Breaking Bad;2008–2013;62 episódios;9,5
1;Planeta Terra II;2016;6 episódios;9,5
2;Planeta Terra;2006;11 episódios;9,4
3;Irmãos de Guerra;2001;10 episódios;9,4
4;Chernobyl;2019;5 episódios;9,3
5;A Escuta;2002–2008;60 episódios;9,3
6;Avatar: A Lenda de Aang;2005–2008;62 episódios;9,3
7;Planeta Azul II;2017;7 episódios;9,3
8;Família Soprano;1999–2007;86 episódios;9,2
9;Cosmos: Uma Odisseia do Espaço-Tempo;2014;13 episódios;9,2
10;Cosmos;1980;13 episódios;9,3
11;Nosso Planeta;2019–2023;12 episódios;9,3
12;Game of Thrones;2011–2019;74 episódios;9,2
13;O Mundo em Guerra;1973–1974;26 episódios;9,2
14;Bluey;2018– ;194 episódios;9,4
15;Fullmetal Alchemist: Brotherhood;2009–2010;68 episódios;9,1
16;Rick e Morty;2013– ;74 episódios;9,1
17;Vida;2009;11 episódios;9,1
18;Arremesso Final;2020;10 episódios;9,1
19;Além da Imaginação;1959–1964;156 episódios;9,1
20;Sherlock;2010–2017;15 episódios;9,1
21;A Guerra do Vietnã;2017;10 episódios;9,1
22;Ataque dos Titãs;2013–2023;98 episódios;9,1
23;Batman: A Série Animada;1992–1995;85 episódios;9,0
24;Vida de Escritório;2005–2013;188 episódios;9,0
25;Planeta Azul;2001;8 episódios;9,0
26;Arcane;2021– ;10 episódios;9,0
27;Scam 1992: The Harshad Mehta Story;2020;10 episódios;9,2
28;Better Call Saul;2015–2022;63 episódios;9,0
29;Na Fazenda com Clarkson;2021– ;25 episódios;9,0
30;Planeta Humano;2011;8 episódios;9,0
31;Planeta Gelado;2011–2012;10 episódios;9,0
32;Firefly;2002–2003;14 episódios;8,9
33;HUNTER×HUNTER;2011–2014;148 episódios;9,0
34;Only Fools and Horses;1981–2003;64 episódios;9,0
35;The Civil War;1990;9 episódios;9,0
36;Death Note;2006–2007;37 episódios;8,9
37;Seinfeld;1989–1998;173 episódios;8,9
38;The Beatles: Get Back;2021;3 episódios;8,9
39;Decálogo;1989–1990;10 episódios;8,9
40;Gravity Falls: Um Verão de Mistérios;2012–2016;41 episódios;8,9
41;True Detective;2014– ;31 episódios;8,9
42;Sahsiyet;2018– ;22 episódios;9,0
43;Cowboy Bebop;1998–1999;26 episódios;8,9
44;Fargo;2014–2024;51 episódios;8,9
45;Nathan for You;2013–2017;32 episódios;8,9
